"H1","Label","Area","Perim."
"2","11:NI-ND-05","39632","765.720"
"3","11:NI-ND-10","39602","763.720"
"4","11:NI-ND-15","39616","757.335"
"5","11:NI-ND-20","39673","750.465"
"6","11:NI-ND-25","39672","761.678"
"7","11:NI-ND-30","39656","757.092"
"8","11:NI-ND-35","39655","759.092"
"9","11:NI-ND-40","39666","757.193"
"10","11:NI-ND-45","39666","755.536"
"11","11:NI-ND-50","39686","755.193"
"12","11:NI-ND-55","39697","758.749"
"1","110:M1ex-ND-00","36737","741.862"
"2","110:M1ex-ND-05","36755","736.649"
"3","110:M1ex-ND-10","36720","738.063"
"4","110:M1ex-ND-15","36737","739.134"
"5","110:M1ex-ND-20","36724","739.377"
"6","110:M1ex-ND-25","36689","749.318"
"7","110:M1ex-ND-30","36638","739.134"
"8","110:M1ex-ND-35","36664","735.477"
"9","110:M1ex-ND-40","36652","737.720"
"10","110:M1ex-ND-45","36626","737.963"
"11","110:M1ex-ND-50","36640","738.063"
"12","110:M1ex-ND-55","36669","739.134"
"1","111:M1ex-ND-00","35107","729.092"
"2","111:M1ex-ND-05","35070","729.335"
"3","111:M1ex-ND-10","35036","726.950"
"4","111:M1ex-ND-15","35032","722.365"
"5","111:M1ex-ND-20","35062","725.779"
"6","111:M1ex-ND-25","35042","727.294"
"7","111:M1ex-ND-30","35018","728.749"
"8","111:M1ex-ND-35","35048","740.649"
"9","111:M1ex-ND-40","35042","729.235"
"10","111:M1ex-ND-45","35042","722.365"
"11","111:M1ex-ND-50","35031","725.051"
"12","111:M1ex-ND-55","34977","725.436"
"13","111:M1ex-ND-60","35003","733.092"
"1","112:M1ex-ND-00","33886","706.365"
"2","112:M1ex-ND-05","33911","712.749"
"3","112:M1ex-ND-10","33892","709.921"
"4","112:M1ex-ND-15","33859","711.235"
"5","112:M1ex-ND-20","33867","712.507"
"6","112:M1ex-ND-25","33834","722.448"
"7","112:M1ex-ND-30","33846","713.820"
"8","112:M1ex-ND-35","33839","704.708"
"9","112:M1ex-ND-40","33840","713.820"
"10","112:M1ex-ND-45","33854","713.820"
"11","112:M1ex-ND-50","33839","708.264"
"12","112:M1ex-ND-55","33871","709.678"
"1","113:M1ex-ND-00","30267","663.495"
"2","113:M1ex-ND-05","30254","661.838"
"3","113:M1ex-ND-10","30268","663.252"
"4","113:M1ex-ND-15","30298","661.938"
"5","113:M1ex-ND-20","30280","663.252"
"6","113:M1ex-ND-25","30293","665.394"
"7","113:M1ex-ND-30","30282","662.909"
"8","113:M1ex-ND-35","30280","664.666"
"9","113:M1ex-ND-40","30265","663.495"
"10","113:M1ex-ND-45","30276","663.495"
"11","113:M1ex-ND-50","30266","667.051"
"12","113:M1ex-ND-55","30268","662.080"
"1","114:M1ex-ND-00","31126","677.495"
"2","114:M1ex-ND-05","31102","677.838"
"3","114:M1ex-ND-10","31088","683.980"
"4","114:M1ex-ND-15","31120","677.495"
"5","114:M1ex-ND-20","31108","677.252"
"6","114:M1ex-ND-25","31120","678.909"
"7","114:M1ex-ND-30","31136","684.808"
"8","114:M1ex-ND-35","31175","681.151"
"9","114:M1ex-ND-40","31184","684.708"
"10","114:M1ex-ND-45","31216","680.808"
"11","114:M1ex-ND-50","31227","679.151"
"12","114:M1ex-ND-55","31280","678.423"
"13","114:M1ex-ND-60","31284","689.536"
"1","115:M1ex-ND-00","34295","729.963"
"2","115:M1ex-ND-05","34291","728.749"
"3","115:M1ex-ND-10","34326","749.176"
"4","115:M1ex-ND-15","34407","735.477"
"5","115:M1ex-ND-20","34510","736.933"
"6","115:M1ex-ND-25","34542","723.578"
"7","115:M1ex-ND-30","34581","730.891"
"8","115:M1ex-ND-35","34612","727.820"
"9","115:M1ex-ND-40","34715","729.092"
"10","115:M1ex-ND-45","34669","731.720"
"11","115:M1ex-ND-50","34667","738.548"
"12","115:M1ex-ND-55","34733","734.791"
"13","115:M1ex-ND-60","34750","735.921"
"1","116:M1ex-ND-00","35597","733.134"
"2","116:M1ex-ND-05","35579","732.306"
"3","116:M1ex-ND-10","35546","725.335"
"4","116:M1ex-ND-15","35558","730.063"
"5","116:M1ex-ND-20","35641","739.963"
"6","116:M1ex-ND-25","35647","727.578"
"7","116:M1ex-ND-30","35680","735.235"
"8","116:M1ex-ND-35","35665","731.335"
"9","116:M1ex-ND-40","35658","735.921"
"10","116:M1ex-ND-45","35686","729.092"
"11","116:M1ex-ND-50","35703","731.092"
"12","116:M1ex-ND-55","35733","745.862"
"1","117:M1ex-ND-00","36647","747.963"
"2","117:M1ex-ND-05","36395","740.992"
"3","117:M1ex-ND-10","36280","741.820"
"4","117:M1ex-ND-15","36217","740.164"
"5","117:M1ex-ND-20","36235","740.891"
"6","117:M1ex-ND-25","36189","742.649"
"7","117:M1ex-ND-30","36193","741.477"
"8","117:M1ex-ND-35","36168","735.335"
"9","117:M1ex-ND-40","36169","747.619"
"10","117:M1ex-ND-45","36173","738.406"
"11","117:M1ex-ND-50","36219","742.649"
"12","117:M1ex-ND-55","36231","743.134"
"1","118:M1ex-ND-00","37265","763.276"
"2","118:M1ex-ND-05","37208","765.418"
"3","118:M1ex-ND-10","37174","762.690"
"4","118:M1ex-ND-15","37214","771.418"
"5","118:M1ex-ND-20","37170","773.661"
"6","118:M1ex-ND-25","37184","776.732"
"7","118:M1ex-ND-30","37196","766.105"
